Unit Address,Unit Status,Tenancy Start,Rent Ceiling,Housing Services,Other
2411 10TH ST,RENTED - Rented or Available,12/2/05,"$1,358.11","Garbage, Water",# Bed: 1# Occ: 1
2413 10TH ST,RENTED - Rented or Available,12/2/05,"$1,358.11","Garbage, Water",# Bed: 1# Occ: 1
2415 10TH ST,RENTED - Rented or Available,12/2/05,"$1,358.11","Garbage, Water",# Bed: 1# Occ: 1
2412 10TH ST,OOCC - Owner Occupied since 2/15/2004,n/a,n/a,"Garbage, Water",n/a
2412 10TH ST #1/2,RENTED - Rented or Available,7/1/10,"$1,931.08","Appliances, Garbage, Parking, Water",# Bed: 2# Occ: 2
2416 10TH ST,"CHSFD - Single family, C-H exempt since 1/1/1996",n/a,n/a,(no active services),n/a
2418 10TH ST #1,OOCC - Owner Occupied since 3/13/1991,n/a,n/a,(no active services),n/a
2418 10TH ST #2,OOCC - Owner Occupied since 3/13/1991,n/a,n/a,(no active services),n/a
2419 10TH ST #A,DUPLEX - Owner Occ duplex since 12/23/1996,n/a,n/a,"Garbage, Laundry Access, Parking, Water",n/a
2419 10TH ST #B,OOCC - Owner Occupied since 12/23/1999,n/a,n/a,"Garbage, Laundry Access, Parking, Water",n/a
2424 10TH ST #REAR,RENTED - Rented or Available,4/15/03,"$1,535.33","Appliances, Garbage, Sewer, Storage, Water",# Bed: 1# Occ: 2
2424 10TH ST #LOWER,SHARED - Owner shares kit/bath since 8/15/2004,n/a,n/a,(no active services),n/a
2424 10TH ST #UPPER,OOCC - Owner Occupied since 3/13/1991,n/a,n/a,(no active services),n/a
2427 10TH ST,OOCC - Owner Occupied since 6/1/2006,n/a,n/a,Other,n/a
2427 10TH ST #A,(~) MISC - Exempt-Misc since 12/31/2000,n/a,n/a,Other,n/a
2427 10TH ST #B,RENTED - Rented or Available,5/31/80,$969.50,Other,# Bed: 0# Occ: 0
2431 10TH ST #A,OOCC - Owner Occupied since 8/20/1990,n/a,n/a,(no active services),n/a
2431 10TH ST #B,OOCC - Owner Occupied since 8/20/1990,n/a,n/a,(no active services),n/a
2436 10TH ST,RENTED - Rented or Available,12/9/11,"$2,784.07","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 4
2436 10TH ST #1/2,RENTED - Rented or Available,10/1/14,"$2,486.75","Appliances, Electricity, Garbage, Gas, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
2438 10TH ST,RENTED - Rented or Available,2/15/06,"$2,532.27","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 3# Occ: 2
2439 10TH ST #A,RENTED - Rented or Available since 6/1/2015,n/a,"$1,050.00","Electricity, Garbage",# Bed: 1
2439 10TH ST #B,RENTED - Rented or Available,2/1/15,"$1,800.00","Garbage, Water",# Bed: 1# Occ: 1
2439 10TH ST #1/2,(~) MISC - Exempt-Misc since 5/1/2006,n/a,n/a,"Garbage, Parking, Sewer, Storage",n/a
2441 10TH ST,RENTED - Rented or Available,1/15/08,"$1,201.20","Appliances, Garbage, Parking",# Bed: 1# Occ: 1
2443 10TH ST,RENTED - Rented or Available,12/1/04,"$1,087.42","Appliances, Garbage, Laundry Access, Parking",# Bed: 1# Occ: 1
2445 10TH ST,RENTED - Rented or Available,5/1/03,"$1,111.71","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 3
2447 10TH ST,RENTED - Rented or Available,7/1/07,"$1,207.94",Garbage,# Bed: 2# Occ: 3
2449 10TH ST #1,(~) MISC - Exempt-Misc since 6/1/2010,n/a,n/a,"Garbage, Parking, Water",n/a
2449 10TH ST #2,(~) MISC - Exempt-Misc since 6/1/2010,n/a,n/a,"Garbage, Parking, Water",n/a
2449 10TH ST #3,RENTED - Rented or Available,4/19/15,"$2,000.00","Garbage, Parking, Water",# Bed: 2# Occ: 2
2449 10TH ST #4,(~) MISC - Exempt-Misc since 6/1/2010,n/a,n/a,"Garbage, Parking, Water",n/a
2449 10TH ST #5,RENTED - Rented or Available,11/16/14,"$2,055.38","Appliances, Garbage, Gas, Laundry Access, Parking, Water",# Bed: 2# Occ: 1
2453 10TH ST,(~) MISC - Exempt-Misc since 12/1/2009,n/a,n/a,"Appliances, Garbage, Laundry Access",n/a
