Unit Address,Unit Status,Tenancy Start,Rent Ceiling,Housing Services,Other
2399 PROSPECT ST #34,RENTED - Rented or Available,8/6/15,"$2,100.00","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2417 PROSPECT ST,RENTED - Rented or Available,8/15/10,"$3,155.01","Garbage, Laundry Access",# Bed: 3# Occ: 4
2419 PROSPECT ST,RENTED - Rented or Available,6/1/14,"$3,045.00","Appliances, Laundry Access",# Bed: 2# Occ: 3
2421 PROSPECT ST #1,RENTED - Rented or Available,8/18/16,"$1,170.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Storage, Water",# Bed: 0# Occ: 2
2421 PROSPECT ST #2,RENTED - Rented or Available since 7/1/2016,n/a,"$1,167.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Storage, Water",# Bed: 0
2421 PROSPECT ST #3,SUMMER - FRAT SUMMER RENTAL,8/17/16,n/a,"Electricity, Garbage, Gas, Heat, Laundry Access, Other, Storage, Water",n/a
2421 PROSPECT ST #4,RENTED - Rented or Available since 7/1/2016,n/a,$950.00,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Storage, Water",# Bed: 0
2421 PROSPECT ST #5,RENTED - Rented or Available,8/18/16,$780.00,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Storage, Water",# Bed: 0# Occ: 1
2421 PROSPECT ST #6,RENTED - Rented or Available,8/18/16,"$1,170.00","Electricity, Garbage, Gas, Heat, Laundry Access, Other, Storage, Water",# Bed: 0# Occ: 2
2421 PROSPECT ST #7,RENTED - Rented or Available,8/18/16,$780.00,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Storage, Water",# Bed: 0# Occ: 1
2421 PROSPECT ST #8,RENTED - Rented or Available,8/18/16,$800.00,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Storage, Water",# Bed: 0# Occ: 1
2421 PROSPECT ST #9,RENTED - Rented or Available since 8/18/2016,n/a,"$1,036.67","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Storage, Water",# Bed: 0
2421 PROSPECT ST #10,RENTED - Rented or Available since 8/18/2016,n/a,$421.23,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Storage, Water",# Bed: 0
2421 PROSPECT ST #11,RENTED - Rented or Available since 8/18/2016,n/a,$687.50,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Storage, Water",# Bed: 1
2422 PROSPECT ST #1,SUMMER - FRAT SUMMER RENTAL since 5/12/2014,n/a,n/a,(no active services),n/a
2422 PROSPECT ST #2,SUMMER - FRAT SUMMER RENTAL since 5/6/2015,n/a,n/a,(no active services),n/a
2422 PROSPECT ST #3,SUMMER - FRAT SUMMER RENTAL since 5/6/2015,n/a,n/a,(no active services),n/a
2422 PROSPECT ST #4,SUMMER - FRAT SUMMER RENTAL since 5/12/2014,n/a,n/a,(no active services),n/a
2422 PROSPECT ST #5,SUMMER - FRAT SUMMER RENTAL since 5/6/2015,n/a,n/a,(no active services),n/a
2422 PROSPECT ST #6,SUMMER - FRAT SUMMER RENTAL since 5/6/2015,n/a,n/a,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Storage, Water",n/a
2422 PROSPECT ST #7,SUMMER - FRAT SUMMER RENTAL since 5/6/2015,n/a,n/a,(no active services),n/a
2422 PROSPECT ST #8,SUMMER - FRAT SUMMER RENTAL since 5/6/2015,n/a,n/a,(no active services),n/a
2422 PROSPECT ST #9,SUMMER - FRAT SUMMER RENTAL since 5/6/2015,n/a,n/a,(no active services),n/a
2422 PROSPECT ST #10,SUMMER - FRAT SUMMER RENTAL since 5/6/2015,n/a,n/a,(no active services),n/a
2422 PROSPECT ST #11,SUMMER - FRAT SUMMER RENTAL since 5/6/2015,n/a,n/a,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Storage, Water",n/a
2422 PROSPECT ST #12,SUMMER - FRAT SUMMER RENTAL since 5/6/2015,n/a,n/a,(no active services),n/a
2422 PROSPECT ST #14,SUMMER - FRAT SUMMER RENTAL since 5/6/2015,n/a,n/a,(no active services),n/a
2422 PROSPECT ST #BG-BAR,SUMMER - FRAT SUMMER RENTAL since 5/12/2014,n/a,n/a,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Storage, Water",n/a
2422 PROSPECT ST #NORTH-,SUMMER - FRAT SUMMER RENTAL since 5/12/2014,n/a,n/a,(no active services),n/a
2422 PROSPECT ST #SUB-ZE,SUMMER - FRAT SUMMER RENTAL since 5/6/2015,n/a,n/a,(no active services),n/a
2425 PROSPECT ST #20,SHARED - Owner shares kit/bath since 5/12/1994,n/a,n/a,(no active services),n/a
2425 PROSPECT ST #21,SHARED - Owner shares kit/bath since 5/12/1994,n/a,n/a,(no active services),n/a
2425 PROSPECT ST #22,SHARED - Owner shares kit/bath since 5/12/1994,n/a,n/a,(no active services),n/a
2425 PROSPECT ST #23,SHARED - Owner shares kit/bath since 5/12/1994,n/a,n/a,(no active services),n/a
2425 PROSPECT ST #24,SHARED - Owner shares kit/bath since 5/12/1994,n/a,n/a,(no active services),n/a
2425 PROSPECT ST #25,SHARED - Owner shares kit/bath since 5/12/1994,n/a,n/a,(no active services),n/a
2425 PROSPECT ST #26,SHARED - Owner shares kit/bath since 5/12/1994,n/a,n/a,(no active services),n/a
2425 PROSPECT ST #27,SHARED - Owner shares kit/bath since 5/12/1994,n/a,n/a,(no active services),n/a
2425 PROSPECT ST #28,SHARED - Owner shares kit/bath since 5/12/1994,n/a,n/a,(no active services),n/a
2425 PROSPECT ST #29,SHARED - Owner shares kit/bath since 5/12/1994,n/a,n/a,(no active services),n/a
2425 PROSPECT ST #2A,SHARED - Owner shares kit/bath since 5/12/1994,n/a,n/a,(no active services),n/a
2425 PROSPECT ST #2B,SHARED - Owner shares kit/bath since 5/12/1994,n/a,n/a,(no active services),n/a
2430 PROSPECT ST #101,RENTED - Rented or Available,6/1/13,"$1,320.01","Appliances, Garbage, Laundry Access, Parking, Storage, Water",# Bed: 1# Occ: 2
2430 PROSPECT ST #102,RENTED - Rented or Available,5/31/80,$826.96,"Garbage, Parking, Water",# Bed: 1# Occ: 0
2430 PROSPECT ST #103,RENTED - Rented or Available since 5/10/2013,n/a,"$1,242.36","Appliances, Garbage, Laundry Access, Storage, Water",# Bed: 1
2430 PROSPECT ST #104,RENTED - Rented or Available,8/14/15,"$2,000.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Storage, Water",# Bed: 1# Occ: 2
2430 PROSPECT ST #105,RENTED - Rented or Available,8/1/06,"$1,266.12","Appliances, Garbage, Laundry Access, Parking, Storage, Water",# Bed: 1# Occ: 2
2430 PROSPECT ST #106,RENTED - Rented or Available,7/9/16,"$2,200.00","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 2
2430 PROSPECT ST #107,RENTED - Rented or Available,12/3/15,"$2,100.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Storage, Water",# Bed: 1# Occ: 1
2430 PROSPECT ST #108,RENTED - Rented or Available,5/1/16,"$1,500.00","Garbage, Laundry Access, Parking, Storage, Water",# Bed: 1# Occ: 1
2430 PROSPECT ST #109,RENTED - Rented or Available,7/15/15,"$2,700.00","Appliances, Garbage, Heat, Laundry Access, Storage, Water",# Bed: 2# Occ: 3
2430 PROSPECT ST #201,RENTED - Rented or Available,5/31/80,"$1,015.63","Garbage, Water",# Bed: 1# Occ: 0
2430 PROSPECT ST #202,RENTED - Rented or Available,7/1/13,"$1,604.72","Appliances, Garbage, Laundry Access, Parking, Storage, Water",# Bed: 1# Occ: 2
2430 PROSPECT ST #203,RENTED - Rented or Available,2/1/00,$928.89,"Appliances, Garbage, Laundry Access, Parking, Storage, Water",# Bed: 1# Occ: 1
2430 PROSPECT ST #204,RENTED - Rented or Available since 8/11/2006,n/a,"$1,496.34","Appliances, Garbage, Laundry Access, Parking, Storage, Water",# Bed: 1
2430 PROSPECT ST #205,RENTED - Rented or Available,5/1/15,"$1,800.00","Appliances, Garbage, Laundry Access, Storage, Water",# Bed: 1# Occ: 2
2430 PROSPECT ST #206,RENTED - Rented or Available,8/1/16,"$2,100.00","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2430 PROSPECT ST #207,RENTED - Rented or Available,8/10/16,"$2,000.00","Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
2430 PROSPECT ST #208,RENTED - Rented or Available,5/31/80,$817.29,"Garbage, Parking, Water",# Bed: 1# Occ: 0
2430 PROSPECT ST #209,RENTED - Rented or Available,5/1/15,"$1,900.00","Appliances, Garbage, Laundry Access, Storage, Water",# Bed: 1# Occ: 2
2430 PROSPECT ST #210,RENTED - Rented or Available,2/28/13,"$1,242.36","Appliances, Garbage, Laundry Access, Storage, Water",# Bed: 1# Occ: 1
2430 PROSPECT ST #301,RENTED - Rented or Available,8/1/16,"$2,100.00",(no active services),# Bed: 1# Occ: 2
2430 PROSPECT ST #302,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,(no active services),n/a
2430 PROSPECT ST #305,RENTED - Rented or Available,6/1/08,"$1,480.46","Appliances, Garbage, Laundry Access, Parking, Storage, Water",# Bed: 1# Occ: 2
2430 PROSPECT ST #306,RENTED - Rented or Available,5/1/13,"$1,397.66","Appliances, Garbage, Laundry Access, Parking, Storage, Water",# Bed: 1# Occ: 1
2430 PROSPECT ST #307,RENTED - Rented or Available,8/14/16,"$2,050.00","Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 1
2430 PROSPECT ST #308,RENTED - Rented or Available,2/1/08,"$1,480.46","Appliances, Garbage, Laundry Access, Parking, Storage, Water",# Bed: 1# Occ: 1
2430 PROSPECT ST #309,RENTED - Rented or Available,10/1/12,"$1,316.13","Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 1
2430 PROSPECT ST #310,RENTED - Rented or Available,5/31/80,"$1,015.65","Garbage, Water",# Bed: 1# Occ: 0
2448 PROSPECT ST,"CHSFD - Single family, C-H exempt since 3/1/1999",n/a,n/a,(no active services),n/a
2455 PROSPECT ST #A,RENTED - Rented or Available,8/1/10,"$1,958.28","Electricity, Gas, Heat, Laundry Access, Water",# Bed: 0# Occ: 1
2455 PROSPECT ST #101,RENTED - Rented or Available,8/1/12,$763.36,"Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #102,RENTED - Rented or Available,7/1/10,$598.36,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #103,RENTED - Rented or Available since 7/1/2010,n/a,$747.06,"Electricity, Gas, Sewer, Water",# Bed: 1
2455 PROSPECT ST #104,RENTED - Rented or Available,7/1/10,$543.97,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #105,RENTED - Rented or Available,8/25/10,$700.00,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #107,(~) MISC - Exempt-Misc since 6/1/2010,n/a,n/a,"Electricity, Gas, Heat, Laundry Access, Water",n/a
2455 PROSPECT ST #109,RENTED - Rented or Available since 10/15/2011,n/a,$683.73,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1
2455 PROSPECT ST #111,(~) MISC - Exempt-Misc since 6/30/2006,n/a,n/a,"Electricity, Gas, Sewer, Water",n/a
2455 PROSPECT ST #123,RENTED - Rented or Available,8/15/10,$652.76,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #125,RENTED - Rented or Available,8/18/10,$707.16,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #127,RENTED - Rented or Available,10/25/11,$749.56,"Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #129,RENTED - Rented or Available,11/1/11,$642.47,"Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #201,RENTED - Rented or Available,7/1/10,$652.76,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #202,RENTED - Rented or Available,9/13/10,$761.55,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #203,RENTED - Rented or Available,7/1/10,$707.16,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #204,RENTED - Rented or Available,8/20/10,$734.36,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #205,RENTED - Rented or Available,7/1/10,$761.55,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #206,RENTED - Rented or Available,7/1/10,$598.36,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #207,RENTED - Rented or Available,1/22/11,$856.64,"Electricity, Garbage, Gas, Laundry Access",# Bed: 1# Occ: 1
2455 PROSPECT ST #211,RENTED - Rented or Available,8/22/08,$980.10,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #215,RENTED - Rented or Available,8/1/08,$980.10,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #217,RENTED - Rented or Available,8/24/10,$685.40,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #219,RENTED - Rented or Available,7/1/10,$707.16,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #221,RENTED - Rented or Available,7/1/10,$429.73,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #227,RENTED - Rented or Available,8/12/01,"$1,957.89","Electricity, Garbage, Gas, Sewer, Water",# Bed: 2# Occ: 2
2455 PROSPECT ST #229,RENTED - Rented or Available since 8/30/2010,n/a,$788.92,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1
2455 PROSPECT ST #231,RENTED - Rented or Available,7/15/10,$652.76,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #233,RENTED - Rented or Available,1/1/11,$674.60,"Electricity, Garbage, Gas, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #235,RENTED - Rented or Available,8/15/10,$685.40,"Appliances, Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #237,RENTED - Rented or Available,8/10/10,$707.16,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #239,RENTED - Rented or Available,7/1/10,$707.16,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #301,RENTED - Rented or Available,10/15/11,$706.72,"Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #302,RENTED - Rented or Available,8/25/10,$870.34,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #303,RENTED - Rented or Available since 10/15/2011,n/a,$598.36,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1
2455 PROSPECT ST #304,RENTED - Rented or Available,9/16/10,$718.03,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #305,RENTED - Rented or Available,8/15/10,$870.34,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 2
2455 PROSPECT ST #306,RENTED - Rented or Available,8/23/10,$707.16,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #307,RENTED - Rented or Available,7/1/10,$707.16,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #311,RENTED - Rented or Available,8/1/08,$980.10,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #315,RENTED - Rented or Available,10/15/11,$910.18,"Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 2
2455 PROSPECT ST #317,RENTED - Rented or Available,12/16/14,"$1,218.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #319,RENTED - Rented or Available,8/18/10,$707.16,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #321,RENTED - Rented or Available,8/15/10,$815.94,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #323,RENTED - Rented or Available,10/5/11,$642.47,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #325,RENTED - Rented or Available,8/24/10,$707.16,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2455 PROSPECT ST #327,RENTED - Rented or Available,8/1/10,$843.15,"Electricity, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
1200 QUEENS RD,MISC - Exempt-Misc since 6/30/1994,n/a,n/a,(no active services),n/a
1206 QUEENS RD,OOCC - Owner Occupied since 8/1/1988,n/a,n/a,(no active services),n/a
1260 QUEENS RD,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Furnishings, Garbage, Laundry Access, Parking, Storage",n/a
1290 QUEENS RD,OOCC - Owner Occupied since 6/30/1994,n/a,n/a,"Electricity, Gas, Other",n/a
1316 QUEENS RD,OOCC - Owner Occupied since 7/10/1990,n/a,n/a,(no active services),n/a
1316 QUEENS RD #COTTG,OOCC - Owner Occupied since 1/1/1995,n/a,n/a,"Electricity, Garbage, Gas, Water",n/a
1399 QUEENS RD,RENTED - Rented or Available since 10/1/1982,n/a,$802.19,Furnishings,# Bed: 1
1440 QUEENS RD,OOCC - Owner Occupied since 6/30/1994,n/a,n/a,(no active services),n/a
866 REGAL RD,MISC - Exempt-Misc since 9/1/2004,n/a,n/a,"Parking, Storage",n/a
870 REGAL RD,OOCC - Owner Occupied since 7/31/1991,n/a,n/a,(no active services),n/a
906 REGAL RD,OOCC - Owner Occupied since 6/30/1994,n/a,n/a,(no active services),n/a
977 REGAL RD,"CHSFD - Single family, C-H exempt since 1/1/1999",n/a,n/a,Parking,n/a
2503 REGENT ST #1,RENTED - Rented or Available,7/1/07,"$1,114.99","Garbage, Water",# Bed: 1# Occ: 2
2503 REGENT ST #2,RENTED - Rented or Available,8/1/12,"$2,211.09","Garbage, Water",# Bed: 3# Occ: 2
2503 REGENT ST #3,RENTED - Rented or Available,10/1/13,"$1,345.89","Garbage, Parking, Water",# Bed: 1# Occ: 1
2511 REGENT ST,"CHSFD - Single family, C-H exempt since 9/15/1997",n/a,n/a,"Electricity, Furnishings, Garbage, Gas, Laundry Access, Water",n/a
2512 REGENT ST #1,NAR - Not Available for Rent since 5/1/2006,n/a,n/a,"Appliances, Garbage",n/a
2512 REGENT ST #2,RENTED - Rented or Available,5/31/80,$537.02,"Garbage, Water",# Bed: 1# Occ: 0
2512 REGENT ST #3,RENTED - Rented or Available,5/31/80,$551.51,"Garbage, Water",# Bed: 1# Occ: 0
2512 REGENT ST #4,NAR - Not Available for Rent since 5/1/2006,n/a,n/a,"Appliances, Garbage",n/a
2512 REGENT ST #5,NAR - Not Available for Rent since 5/1/2006,n/a,n/a,"Appliances, Garbage",n/a
2512 REGENT ST #6,NAR - Not Available for Rent since 5/1/2006,n/a,n/a,"Appliances, Garbage",n/a
2512 REGENT ST #7,RENTED - Rented or Available,5/31/80,$497.67,"Garbage, Water",# Bed: 1# Occ: 0
2512 REGENT ST #8,NAR - Not Available for Rent since 5/1/2006,n/a,n/a,"Appliances, Garbage",n/a
2516 REGENT ST,NAR - Not Available for Rent since 7/1/2014,n/a,n/a,"Garbage, Water",n/a
2515 REGENT ST #A,RENTED - Rented or Available,8/1/11,"$1,258.19","Garbage, Water",# Bed: 1# Occ: 2
2515 REGENT ST #B,RENTED - Rented or Available,11/27/15,"$2,500.00",Garbage,# Bed: 2# Occ: 3
2515 REGENT ST #C,RENTED - Rented or Available,8/1/11,"$1,258.19","Garbage, Water",# Bed: 1# Occ: 1
2517 REGENT ST #1,RENTED - Rented or Available,1/1/97,$895.18,"Electricity, Furnishings, Garbage, Gas, Water",# Bed: 1# Occ: 0
2517 REGENT ST #2,RENTED - Rented or Available,6/1/14,"$1,471.75",Appliances,# Bed: 0# Occ: 1
2517 REGENT ST #3,RENTED - Rented or Available,6/1/15,"$1,590.00","Appliances, Laundry Access",# Bed: 0# Occ: 1
2517 REGENT ST #4,RENTED - Rented or Available,5/15/16,"$2,095.00",Appliances,# Bed: 2# Occ: 1
2517 REGENT ST #5,RENTED - Rented or Available,5/1/12,"$1,526.70",Appliances,# Bed: 1# Occ: 1
2520 REGENT ST #1,RENTED - Rented or Available,5/31/16,"$1,800.00","Appliances, Garbage, Water",# Bed: 1# Occ: 2
2520 REGENT ST #2,RENTED - Rented or Available,5/30/15,"$1,745.00","Appliances, Garbage, Water",# Bed: 1# Occ: 2
2520 REGENT ST #3,RENTED - Rented or Available,5/25/16,"$1,800.00","Appliances, Garbage, Water",# Bed: 1# Occ: 2
2520 REGENT ST #4,RENTED - Rented or Available,5/27/16,"$1,800.00","Appliances, Garbage, Water",# Bed: 1# Occ: 2
2520 REGENT ST #5,RENTED - Rented or Available,6/28/16,"$3,200.00","Appliances, Garbage, Water",# Bed: 2# Occ: 4
2520 REGENT ST #6,RENTED - Rented or Available,6/6/15,"$3,250.00","Appliances, Garbage, Water",# Bed: 2# Occ: 4
2520 REGENT ST #7,RENTED - Rented or Available,5/26/16,"$1,800.00","Appliances, Garbage, Water",# Bed: 1# Occ: 2
2520 REGENT ST #8,RENTED - Rented or Available,6/1/13,"$2,893.66","Appliances, Garbage, Water",# Bed: 2# Occ: 4
2521 REGENT ST #1,RENTED - Rented or Available,6/5/12,"$1,210.83","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 2
2521 REGENT ST #2,RENTED - Rented or Available,6/7/14,"$1,344.88","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 2
2521 REGENT ST #3,RENTED - Rented or Available,6/6/15,"$1,550.00","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 2
2521 REGENT ST #4,RENTED - Rented or Available,6/1/15,"$1,224.00","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 2
2521 REGENT ST #5,RENTED - Rented or Available,2/1/15,"$1,265.97","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 2
2521 REGENT ST #6,RENTED - Rented or Available,8/1/07,"$1,351.51","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2521 REGENT ST #7,RENTED - Rented or Available,7/1/08,"$1,425.64","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2521 REGENT ST #8,RENTED - Rented or Available,6/1/15,"$1,450.00","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 2
2521 REGENT ST #9,RENTED - Rented or Available,6/1/15,"$1,395.00","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 2
2521 REGENT ST #10,RENTED - Rented or Available,8/25/14,"$1,344.88","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 2
2521 REGENT ST #11,RENTED - Rented or Available,4/1/15,"$1,450.00","Appliances, Garbage, Laundry Access",# Bed: 0# Occ: 2
2521 REGENT ST #12,RENTED - Rented or Available,6/1/00,"$1,383.98","Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Water",# Bed: 1# Occ: 2
2521 REGENT ST #14,RENTED - Rented or Available,5/15/04,"$1,147.61","Appliances, Electricity, Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2521 REGENT ST #15,RENTED - Rented or Available,6/1/15,"$1,200.00","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 2
2521 REGENT ST #16,RENTED - Rented or Available,6/22/15,"$1,275.00","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 2
2521 REGENT ST #17,RENTED - Rented or Available,5/1/15,"$1,375.00","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 1
2521 REGENT ST #18,RENTED - Rented or Available,12/31/95,$815.57,Sewer,# Bed: 0# Occ: 0
